NACA63A418
                         1                         0
                      0.95                  0.014317
                       0.9                  0.028056
                      0.85                  0.041704
                       0.8                  0.054752
                      0.75                  0.066378
                       0.7                  0.077168
                      0.65                  0.087008
                       0.6                  0.095663
                      0.55                   0.10295
                       0.5                  0.108698
                      0.45                  0.112712
                       0.4                   0.11475
                      0.35                  0.114513
                       0.3                  0.111883
                      0.25                  0.106655
                       0.2                  0.098805
                      0.15                  0.087963
                       0.1                  0.073239
                     0.075                  0.063836
                      0.05                  0.052327
                     0.025                  0.037246
                    0.0125                  0.026849
                    0.0075                  0.021423
                     0.005                  0.018226
                         0                         0
                     0.005                 -0.009511
                    0.0075                 -0.012135
                    0.0125                 -0.016245
                     0.025                 -0.023843
                      0.05                 -0.033969
                     0.075                 -0.041143
                       0.1                  -0.04672
                      0.15                 -0.054916
                       0.2                 -0.060428
                      0.25                  -0.06392
                       0.3                 -0.065651
                      0.35                 -0.065536
                       0.4                  -0.06371
                      0.45                 -0.060272
                       0.5                 -0.055536
                      0.55                 -0.049795
                       0.6                 -0.043309
                      0.65                 -0.036344
                       0.7                 -0.029225
                      0.75                 -0.022415
                       0.8                 -0.016469
                      0.85                  -0.01196
                       0.9                 -0.007828
                      0.95                 -0.004192
                         1                         0
